antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Electronics', 'Books', 'Beauty', 'Home Decor'})","frozenset({'Clothing', 'Sports'})",0.292,0.558,0.179,0.613013698630137,1.098590857760102,1.0,0.016063999999999995,1.142159292035398,0.12675567338951485,0.2667660208643815,0.12446538151614694,0.4669011145480434
"frozenset({'Electronics', 'Food', 'Beauty', 'Books', 'Home Decor'})","frozenset({'Clothing', 'Sports'})",0.213,0.558,0.129,0.6056338028169015,1.085365238023121,1.0,0.010146000000000002,1.1207857142857145,0.09993794509618512,0.20093457943925233,0.10776878465362318,0.4184082992579131
"frozenset({'Electronics', 'Food', 'Sports', 'Books', 'Home Decor'})","frozenset({'Clothing', 'Beauty'})",0.219,0.55,0.129,0.589041095890411,1.0709838107098382,1.0,0.008549999999999988,1.095,0.08486436589941328,0.2015625,0.08675799086757988,0.41179327521793274
"frozenset({'Food', 'Sports', 'Clothing', 'Books', 'Home Decor'})","frozenset({'Electronics', 'Beauty'})",0.223,0.542,0.129,0.57847533632287,1.0672976684923798,1.0,0.008133999999999988,1.086531914893617,0.08115091836022056,0.2028301886792453,0.0796404723206767,0.40824135819833535
"frozenset({'Electronics', 'Food', 'Sports', 'Clothing', 'Beauty'})","frozenset({'Books', 'Home Decor'})",0.22,0.55,0.129,0.5863636363636364,1.0661157024793388,1.0,0.007999999999999993,1.087912087912088,0.07950705625124223,0.20124804992199688,0.08080808080808084,0.41045454545454546
"frozenset({'Books', 'Beauty', 'Home Decor'})","frozenset({'Clothing', 'Sports'})",0.411,0.558,0.244,0.5936739659367397,1.0639318385963077,1.0,0.01466199999999998,1.0877964071856288,0.102020651841131,0.336551724137931,0.08071033017361914,0.5154749757999111
"frozenset({'Electronics', 'Food', 'Sports', 'Beauty', 'Books', 'Home Decor'})",frozenset({'Clothing'}),0.165,0.735,0.129,0.7818181818181819,1.0636982065553495,1.0,0.007724999999999996,1.2145833333333336,0.07171703105417068,0.16731517509727625,0.17667238421955422,0.47866419294990725
"frozenset({'Electronics', 'Clothing', 'Sports', 'Beauty'})","frozenset({'Books', 'Home Decor'})",0.306,0.55,0.179,0.5849673202614379,1.0635769459298872,1.0,0.010699999999999987,1.084251968503937,0.0861333376265837,0.2644017725258493,0.07770515613652866,0.4552109328579917
"frozenset({'Electronics', 'Books', 'Beauty', 'Home Decor'})","frozenset({'Clothing', 'Food'})",0.292,0.532,0.165,0.565068493150685,1.0621588217118139,1.0,0.009655999999999998,1.0760314960629922,0.08265707926724875,0.2503793626707132,0.07065917339889945,0.4376094345452673
"frozenset({'Home Decor', 'Books', 'Food', 'Beauty'})","frozenset({'Clothing', 'Sports'})",0.294,0.558,0.174,0.5918367346938775,1.0606393094872357,1.0,0.009947999999999985,1.0828999999999998,0.08098075608088295,0.2566371681415928,0.07655369840243777,0.4518323458415624
"frozenset({'Electronics', 'Beauty', 'Home Decor'})","frozenset({'Clothing', 'Sports'})",0.405,0.558,0.239,0.5901234567901233,1.0575689189787156,1.0,0.013009999999999966,1.078373493975903,0.09148764108153698,0.330110497237569,0.07267750405005272,0.5092194344882516
"frozenset({'Clothing', 'Sports', 'Food', 'Home Decor'})",frozenset({'Beauty'}),0.301,0.739,0.235,0.7807308970099668,1.0564694140865585,1.0,0.012560999999999989,1.1903181818181818,0.07646790247465979,0.29192546583850926,0.1598884942910605,0.5493640953250105
"frozenset({'Clothing', 'Sports', 'Beauty'})","frozenset({'Books', 'Home Decor'})",0.42,0.55,0.244,0.580952380952381,1.0562770562770563,1.0,0.012999999999999984,1.0738636363636365,0.0918598078010174,0.33608815426997246,0.0687830687830688,0.5122943722943722
"frozenset({'Food', 'Sports', 'Clothing', 'Books', 'Home Decor'})",frozenset({'Beauty'}),0.223,0.739,0.174,0.780269058295964,1.0558444631880435,1.0,0.009202999999999989,1.1878163265306119,0.06807053358777489,0.22081218274111672,0.15811899730254428,0.5078611867934488
"frozenset({'Books', 'Food', 'Home Decor'})","frozenset({'Clothing', 'Beauty'})",0.391,0.55,0.227,0.5805626598465473,1.0555684724482677,1.0,0.011949999999999988,1.0728658536585365,0.08644198982950303,0.3179271708683473,0.06791702188121616,0.49664496628691
"frozenset({'Books', 'Sports', 'Food', 'Home Decor'})","frozenset({'Clothing', 'Beauty'})",0.3,0.55,0.174,0.58,1.0545454545454545,1.0,0.00899999999999998,1.0714285714285712,0.0738916256157634,0.25739644970414194,0.06666666666666649,0.4481818181818181
"frozenset({'Sports', 'Clothing', 'Food', 'Home Decor'})","frozenset({'Electronics', 'Beauty'})",0.301,0.542,0.172,0.5714285714285714,1.0542962572482866,1.0,0.008857999999999977,1.0686666666666664,0.07367668097281813,0.25633383010432187,0.06425452276980646,0.4443858724301528
"frozenset({'Electronics', 'Food', 'Beauty', 'Books', 'Home Decor'})",frozenset({'Clothing'}),0.213,0.735,0.165,0.7746478873239437,1.0539427038421003,1.0,0.008445000000000008,1.1759375000000005,0.0650340764699088,0.21072796934865903,0.14961466914695756,0.49956884162115556
"frozenset({'Food', 'Home Decor'})","frozenset({'Clothing', 'Beauty'})",0.532,0.55,0.308,0.5789473684210525,1.0526315789473681,1.0,0.01539999999999997,1.0687499999999996,0.10683760683760662,0.3979328165374677,0.06432748538011668,0.5694736842105262
"frozenset({'Electronics', 'Books', 'Home Decor'})","frozenset({'Clothing', 'Sports'})",0.395,0.558,0.232,0.5873417721518988,1.0525838210607503,1.0,0.01158999999999999,1.0711042944785276,0.08257338273012246,0.32177531206657417,0.06638409989117354,0.5015561907354475
"frozenset({'Home Decor', 'Electronics', 'Food', 'Beauty'})","frozenset({'Clothing', 'Sports'})",0.293,0.558,0.172,0.5870307167235495,1.05202637405654,1.0,0.008505999999999986,1.070297520661157,0.06994835696194192,0.2533136966126657,0.06568035457816607,0.44763722216105784
"frozenset({'Electronics', 'Food', 'Sports', 'Clothing', 'Books', 'Home Decor'})",frozenset({'Beauty'}),0.166,0.739,0.129,0.7771084337349398,1.0515675693300943,1.0,0.006325999999999998,1.170972972972973,0.05879947205026675,0.16623711340206185,0.14600932465494165,0.47583432512186774
"frozenset({'Clothing', 'Sports'})","frozenset({'Beauty', 'Home Decor'})",0.558,0.561,0.329,0.589605734767025,1.0509906145579768,1.0,0.015961999999999976,1.0697030567685588,0.10976632879010836,0.41645569620253153,0.0651611270319476,0.5880292488451881
"frozenset({'Beauty', 'Home Decor'})","frozenset({'Clothing', 'Sports'})",0.561,0.558,0.329,0.5864527629233511,1.0509906145579768,1.0,0.015961999999999976,1.0688017241379308,0.11051644037637334,0.41645569620253153,0.06437276679491195,0.5880292488451881
"frozenset({'Electronics', 'Food', 'Sports', 'Beauty', 'Home Decor'})","frozenset({'Books', 'Clothing'})",0.224,0.548,0.129,0.5758928571428571,1.0508993743482793,1.0,0.00624799999999999,1.0657684210526313,0.0624150883081594,0.2006220839813375,0.06170986093552446,0.40564715849843586
"frozenset({'Books', 'Clothing', 'Sports', 'Beauty'})","frozenset({'Electronics', 'Home Decor'})",0.312,0.546,0.179,0.5737179487179487,1.0507654738423968,1.0,0.008647999999999989,1.0650225563909772,0.07022216447966732,0.2636229749631811,0.06105275048006308,0.45077838827838823
"frozenset({'Home Decor', 'Books', 'Food', 'Beauty'})",frozenset({'Clothing'}),0.294,0.735,0.227,0.772108843537415,1.0504882224998844,1.0,0.01091000000000003,1.162835820895523,0.06807602550823047,0.2830423940149626,0.14003337183930212,0.5404761904761906
"frozenset({'Home Decor', 'Food', 'Beauty'})","frozenset({'Clothing', 'Sports'})",0.401,0.558,0.235,0.5860349127182044,1.0502417790648824,1.0,0.011241999999999946,1.0677228915662647,0.07986360245799701,0.32458563535911594,0.06342740433982885,0.5035909330616111
"frozenset({'Food', 'Sports', 'Clothing', 'Beauty', 'Books'})","frozenset({'Electronics', 'Home Decor'})",0.225,0.546,0.129,0.5733333333333334,1.05006105006105,1.0,0.006149999999999989,1.0640625,0.06151537884471106,0.20093457943925233,0.06020558002936855,0.4047985347985348
