customer_id,transaction_id_nunique,transaction_amount_sum,transaction_amount_mean,transaction_amount_max,transaction_amount_min,item_category_nunique,anomaly_iso_txn,anomaly_svm_txn
0015b811,6,284.99,47.498333333333335,65.01,35.12,3,1,1
001b5c26,11,332.27,30.206363636363633,63.46,15.0,5,1,1
001f14f4,12,234.85999999999999,19.571666666666665,28.49,5.0,6,1,1
005a41ae,17,1077.43,63.37823529411765,100.56,10.28,7,-1,1
00a855a2,9,165.99,18.443333333333335,23.46,12.56,5,1,1
00ce6209,7,282.44,40.348571428571425,57.65,22.39,5,1,1
00da5470,8,121.06,15.1325,27.6,10.46,4,1,1
0108e7c6,2,350.74,175.37,187.62,163.12,1,-1,-1
016844a1,11,815.53,74.13909090909091,114.72,38.71,6,1,1
017f0adf,12,506.3,42.19166666666667,71.77,8.87,7,1,1
01da2580,7,87.9,12.557142857142859,16.06,7.47,6,1,1
020158dd,12,1149.3799999999999,95.78166666666665,194.48,38.9,6,-1,-1
0233ca10,7,350.3,50.042857142857144,79.89,29.58,5,1,1
0234639b,9,132.34,14.704444444444444,22.06,7.22,5,1,1
024aa3de,10,465.85,46.585,74.96,34.25,4,1,1
0250db30,11,381.67,34.697272727272725,48.22,14.21,6,1,1
02a121df,11,762.14,69.28545454545454,92.96,48.64,5,1,1
02afd91d,6,338.97,56.495000000000005,81.72,39.4,5,1,1
0366cd0b,11,138.62,12.601818181818182,21.77,7.81,6,1,1
03f28c21,7,312.87,44.69571428571429,66.61,32.14,4,1,1
044378fc,9,144.66,16.073333333333334,23.31,8.59,5,1,1
044ba4b8,7,144.17000000000002,20.595714285714287,32.14,5.0,6,1,1
04605ed5,10,392.83,39.283,48.38,25.5,6,1,1
047ed9f3,14,2026.65,144.7607142857143,223.97,61.73,5,-1,-1
04f98a7a,11,583.25,53.02272727272727,70.62,41.7,6,1,1
0525dfbf,6,137.42,22.903333333333332,30.36,15.18,4,1,1
0556baa4,14,234.77,16.769285714285715,28.85,5.0,7,1,1
055d291b,12,244.9,20.408333333333335,35.41,5.0,5,1,1
056c1016,8,409.86,51.2325,92.57,18.5,4,1,1
06ca7af6,10,275.18,27.518,43.22,8.45,5,1,1
06f243a1,16,251.53,15.720625,23.0,9.47,6,1,1
